project_id,project_name,treatment,site,burn_name,burn_year,ecoregion_name_l2,latitude,longitude,accuracy_horizontal,elevation,accuracy_vertical,slope,aspect,moisture,stand_density,stand_basal_area,prop_black_spruce,stand_age,stand_origin,ag_biomass_prefire,ag_c_prefire,ag_biomass_combusted,ag_c_combusted,prefire_sol,mean_residual_org_layer_depth,burn_depth,prop_sol_combusted,residual_sol_c,bg_c_prefire,bg_c_combusted,prop_sol_c_combusted,total_c_pool_prefire,prop_prefire_bg_c,total_c_combusted,prop_total_bg_c_combusted,prop_total_prefire_c_combusted,dob,precipitation,temperature,relative_humidity,wind_speed,drought_code,drought_moisture_code,fine_fuel_moisture_code,initial_spread_index,buildup_index,fire_weather_index,daily_severity_rank
NWT_BCKE.sf.49,NWT_BCKE,burn,SS28-2,SS28,2015,Taiga Plains,60.8246,-114.3348,-9999,-9999,-9999,-9999,-9999,6,0.16,0.15,0,54,fire,27.068,13.534,8.141,4.07,-9999,72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,180.9,1.66E-02,24.55,39.24,3.82,256.18,34.55,89.5,4.84,51.68,13.161,2.6045
NWT_BCKE.sf.50,NWT_BCKE,burn,SS28-2,SS28,2015,Taiga Plains,60.8246,-114.3352,-9999,-9999,-9999,-9999,-9999,6,0.32,11.4,0.5,54,fire,3582,1791,619.369,309.685,-9999,70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,180.9,1.66E-02,24.55,39.24,3.82,256.18,34.55,89.5,4.84,51.68,13.161,2.6045
NWT_BCKE.sf.51,NWT_BCKE,burn,SS3-10,SS3,2014,Taiga Plains,60.8782,-117.3941,-9999,-9999,-9999,-9999,-9999,6,1.56,8.11,1,-9999,fire,1262.81,631.405,322.878,161.439,-9999,40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,177.5,1.13E+00,24.53,28.21,11.28,194.48,60.18,89.4,6.94,67.86,20.052,5.4877
NWT_BCKE.sf.52,NWT_BCKE,burn,SS3-10,SS3,2014,Taiga Plains,60.8781,-117.3936,-9999,-9999,-9999,-9999,-9999,6,3.68,19.59,1,-9999,fire,3087.46,1543.73,668.326,334.163,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,177.5,1.13E+00,24.53,28.21,11.28,194.48,60.18,89.4,6.94,67.86,20.052,5.4877
NWT_BCKE.sf.53,NWT_BCKE,burn,SS3-10,SS3,2014,Taiga Plains,60.878,-117.3932,-9999,-9999,-9999,-9999,-9999,6,4.04,20.53,0.96,-9999,fire,3295.35,1647.675,738.44,369.22,-9999,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,177.5,1.13E+00,24.53,28.21,11.28,194.48,60.18,89.4,6.94,67.86,20.052,5.4877
NWT_BCKE.sf.54,NWT_BCKE,burn,SS3-10,SS3,2014,Taiga Plains,60.8775,-117.3973,-9999,-9999,-9999,-9999,-9999,6,1.96,16.73,1,-9999,fire,3178.52,1589.26,748.089,374.044,7.5,2,5.5,0.732,605.8,2025.3,1419.5,0.701,3614.6,0.56,1793.6,0.791,0.496,177.5,1.13E+00,24.53,28.21,11.28,194.48,60.18,89.4,6.94,67.86,20.052,5.4877
NWT_BCKE.sf.55,NWT_BCKE,burn,SS3-10,SS3,2014,Taiga Plains,60.8776,-117.3942,-9999,-9999,-9999,-9999,-9999,6,2.08,20.88,0.846,-9999,fire,4464.39,2232.195,599.828,299.914,12.5,6,6.5,0.518,1912.1,3631.3,1719.2,0.473,5863.5,0.619,2019.1,0.851,0.344,177.5,1.13E+00,24.53,28.21,11.28,194.48,60.18,89.4,6.94,67.86,20.052,5.4877
NWT_BCKE.sf.56,NWT_BCKE,burn,SS3-10,SS3,2014,Taiga Plains,60.8777,-117.3945,-9999,-9999,-9999,-9999,-9999,6,2.2,15.72,0.982,-9999,fire,2593.25,1296.625,555.685,277.842,8.2,3,5.2,0.634,913,2258.7,1345.7,0.596,3555.3,0.635,1623.6,0.829,0.457,177.5,1.13E+00,24.53,28.21,11.28,194.48,60.18,89.4,6.94,67.86,20.052,5.4877
NWT_BCKE.sf.57,NWT_BCKE,burn,SS3-104,SS3,2014,Taiga Plains,60.9387,-117.404,-9999,-9999,-9999,-9999,-9999,6,0.24,2.92,1,-9999,fire,553.268,276.634,72.569,36.284,175.7,170,5.7,0.032,72154.5,73648.3,1493.8,0.02,73924.9,0.996,1530.1,0.976,0.021,183.5,3.26E-01,28.47,32.26,8.19,243.79,87.04,91.55,8.08,91.98,26.152,8.7813
NWT_BCKE.sf.58,NWT_BCKE,burn,SS3-104,SS3,2014,Taiga Plains,60.9385,-117.404,-9999,-9999,-9999,-9999,-9999,6,0.36,14.46,1,-9999,fire,3761.43,1880.715,532.099,266.049,91.2,84,7.2,0.079,32995.6,34943.9,1948.2,0.056,36824.6,0.949,2214.3,0.88,0.06,183.5,3.26E-01,28.47,32.26,8.19,243.79,87.04,91.55,8.08,91.98,26.152,8.7813
NWT_BCKE.sf.59,NWT_BCKE,burn,SS3-104,SS3,2014,Taiga Plains,60.9384,-117.4041,-9999,-9999,-9999,-9999,-9999,5,0.35,7.44,1,-9999,fire,1675.1,837.55,297.694,148.847,146.5,140,6.5,0.044,58163.9,59898.3,1734.4,0.029,60735.8,0.986,1883.2,0.921,0.031,183.5,3.26E-01,28.47,32.26,8.19,243.79,87.04,91.55,8.08,91.98,26.152,8.7813
NWT_BCKE.sf.60,NWT_BCKE,burn,SS3-104,SS3,2014,Taiga Plains,60.9386,-117.405,-9999,-9999,-9999,-9999,-9999,5,0.48,9.33,1,-9999,fire,1980.4,990.2,444.618,222.309,89.2,81,8.2,0.092,31815.2,34073.9,2258.7,0.066,35064.1,0.972,2481,0.91,0.071,183.5,3.26E-01,28.47,32.26,8.19,243.79,87.04,91.55,8.08,91.98,26.152,8.7813
NWT_BCKE.sf.61,NWT_BCKE,burn,SS3-104,SS3,2014,Taiga Plains,60.9384,-117.405,-9999,-9999,-9999,-9999,-9999,5,0.27,5.52,1,-9999,fire,1282.86,641.43,217.794,108.897,88.8,82,6.8,0.077,32074.6,33900.2,1825.7,0.054,34541.6,0.981,1934.6,0.944,0.056,183.5,3.26E-01,28.47,32.26,8.19,243.79,87.04,91.55,8.08,91.98,26.152,8.7813
NWT_BCKE.sf.62,NWT_BCKE,burn,SS3-109,SS3,2014,Taiga Plains,60.906,-117.4022,-9999,-9999,-9999,-9999,-9999,5,0.35,8.13,1,-9999,fire,1966.86,983.43,336.12,168.06,83.5,73,10.5,0.126,28617.4,31609.3,2991.9,0.095,32592.7,0.97,3160,0.947,0.097,188.5,6.29E-01,21.4,50.58,1.15,199.25,20.1,83.97,1.94,32.1,4.282,0.357
NWT_BCKE.sf.63,NWT_BCKE,burn,SS3-109,SS3,2014,Taiga Plains,60.906,-117.4018,-9999,-9999,-9999,-9999,-9999,5,0.6,8.09,1,-9999,fire,2327.37,1163.685,470.342,235.171,113.1,108,5.1,0.045,43315.4,44631.8,1316.3,0.029,45795.4,0.975,1551.5,0.848,0.034,188.5,6.29E-01,21.4,50.58,1.15,199.25,20.1,83.97,1.94,32.1,4.282,0.357
NWT_BCKE.sf.64,NWT_BCKE,burn,SS3-109,SS3,2014,Taiga Plains,60.906,-117.4014,-9999,-9999,-9999,-9999,-9999,5,0.25,2.95,1,-9999,fire,558.166,279.083,106.766,53.383,135.8,126,9.8,0.072,52183.3,54949.5,2766.2,0.05,55228.6,0.995,2819.6,0.981,0.051,188.5,6.29E-01,21.4,50.58,1.15,199.25,20.1,83.97,1.94,32.1,4.282,0.357
NWT_BCKE.sf.65,NWT_BCKE,burn,SS3-109,SS3,2014,Taiga Plains,60.9056,-117.4025,-9999,-9999,-9999,-9999,-9999,5,0.33,7.01,1,-9999,fire,1791.72,895.86,334.768,167.384,95.5,90,5.5,0.057,35383.1,36805.6,1422.5,0.039,37701.5,0.976,1589.9,0.895,0.042,188.5,6.29E-01,21.4,50.58,1.15,199.25,20.1,83.97,1.94,32.1,4.282,0.357
NWT_BCKE.sf.66,NWT_BCKE,burn,SS3-109,SS3,2014,Taiga Plains,60.9055,-117.4021,-9999,-9999,-9999,-9999,-9999,5,0.22,3.58,1,-9999,fire,913.259,456.63,114.117,57.058,-9999,107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,188.5,6.29E-01,21.4,50.58,1.15,199.25,20.1,83.97,1.94,32.1,4.282,0.357
NWT_BCKE.sf.67,NWT_BCKE,burn,SS3-109,SS3,2014,Taiga Plains,60.9055,-117.4017,-9999,-9999,-9999,-9999,-9999,5,0.29,2.93,1,-9999,fire,608.318,304.159,80.483,40.241,168.8,162,6.8,0.04,68543,70368.7,1825.7,0.026,70672.8,0.996,1865.9,0.978,0.026,188.5,6.29E-01,21.4,50.58,1.15,199.25,20.1,83.97,1.94,32.1,4.282,0.357
NWT_BCKE.sf.68,NWT_BCKE,burn,SS3-28,SS3,2014,Taiga Plains,60.9236,-117.0228,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,30.2,20,10.2,0.338,7050.5,9945.5,2894.9,0.291,-9999,-9999,-9999,-9999,-9999,189.5,1.88E-01,24.63,51.23,6.14,263.1,25.51,87.75,4.23,41.06,10.365,1.7067
NWT_BCKE.sf.69,NWT_BCKE,burn,SS3-28,SS3,2014,Taiga Plains,60.9235,-117.0232,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,25.7,10,15.7,0.611,3551.4,8278.5,4727.1,0.571,-9999,-9999,-9999,-9999,-9999,189.5,1.88E-01,24.63,51.23,6.14,263.1,25.51,87.75,4.23,41.06,10.365,1.7067
NWT_BCKE.sf.70,NWT_BCKE,burn,SS3-28,SS3,2014,Taiga Plains,60.9234,-117.0237,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,31,15,16,0.515,5414,10226.8,4812.8,0.471,-9999,-9999,-9999,-9999,-9999,189.5,1.88E-01,24.63,51.23,6.14,263.1,25.51,87.75,4.23,41.06,10.365,1.7067
NWT_BCKE.sf.71,NWT_BCKE,burn,SS3-28,SS3,2014,Taiga Plains,60.9231,-117.0225,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,13.5,3,10.5,0.777,989,3964.7,2975.7,0.751,-9999,-9999,-9999,-9999,-9999,189.5,1.88E-01,24.63,51.23,6.14,263.1,25.51,87.75,4.23,41.06,10.365,1.7067
NWT_BCKE.sf.72,NWT_BCKE,burn,SS3-28,SS3,2014,Taiga Plains,60.923,-117.0229,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,12.2,0.5,11.7,0.959,164.9,3548.5,3383.6,0.954,-9999,-9999,-9999,-9999,-9999,189.5,1.88E-01,24.63,51.23,6.14,263.1,25.51,87.75,4.23,41.06,10.365,1.7067
NWT_BCKE.sf.73,NWT_BCKE,burn,SS3-28,SS3,2014,Taiga Plains,60.9229,-117.0234,-9999,-9999,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,10.5,0.5,10,0.952,161.3,2975.7,2814.4,0.946,-9999,-9999,-9999,-9999,-9999,189.5,1.88E-01,24.63,51.23,6.14,263.1,25.51,87.75,4.23,41.06,10.365,1.7067
NWT_BCKE.sf.74,NWT_BCKE,burn,SS3-29,SS3,2014,Taiga Plains,60.9592,-117.3229,-9999,-9999,-9999,-9999,-9999,4,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,60,40,20,0.333,15480,21687.2,6207.1,0.286,-9999,-9999,-9999,-9999,-9999,182.9,8.79E-01,24.9,44.6,4.93,234.96,82.33,87.5,3.84,87.77,14.853,3.226
NWT_BCKE.sf.75,NWT_BCKE,burn,SS3-29,SS3,2014,Taiga Plains,60.9592,-117.3225,-9999,-9999,-9999,-9999,-9999,4,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,54.7,40,14.7,0.269,15154.8,19541.1,4386.3,0.224,-9999,-9999,-9999,-9999,-9999,182.9,8.79E-01,24.9,44.6,4.93,234.96,82.33,87.5,3.84,87.77,14.853,3.226
NWT_BCKE.sf.76,NWT_BCKE,burn,SS3-29,SS3,2014,Taiga Plains,60.9593,-117.322,-9999,-9999,-9999,-9999,-9999,4,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,55,40,15,0.272,15171.5,19642.7,4471.2,0.228,-9999,-9999,-9999,-9999,-9999,182.9,8.79E-01,24.9,44.6,4.93,234.96,82.33,87.5,3.84,87.77,14.853,3.226
NWT_BCKE.sf.77,NWT_BCKE,burn,SS3-29,SS3,2014,Taiga Plains,60.9587,-117.3219,-9999,-9999,-9999,-9999,-9999,4,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,50.7,40,10.7,0.211,14867.9,17924.7,3056.8,0.171,-9999,-9999,-9999,-9999,-9999,182.9,8.79E-01,24.9,44.6,4.93,234.96,82.33,87.5,3.84,87.77,14.853,3.226
NWT_BCKE.sf.78,NWT_BCKE,burn,SS3-29,SS3,2014,Taiga Plains,60.9588,-117.3224,-9999,-9999,-9999,-9999,-9999,4,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,52.2,40,12.2,0.234,14980.3,18528.8,3548.5,0.192,-9999,-9999,-9999,-9999,-9999,182.9,8.79E-01,24.9,44.6,4.93,234.96,82.33,87.5,3.84,87.77,14.853,3.226
NWT_BCKE.sf.79,NWT_BCKE,burn,SS3-29,SS3,2014,Taiga Plains,60.9588,-117.3228,-9999,-9999,-9999,-9999,-9999,4,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,43.2,35,8.2,0.19,12683,14941.8,2258.7,0.151,-9999,-9999,-9999,-9999,-9999,182.9,8.79E-01,24.9,44.6,4.93,234.96,82.33,87.5,3.84,87.77,14.853,3.226
NWT_BCKE.sf.80,NWT_BCKE,burn,SS3-30,SS3,2014,Taiga Plains,60.9549,-117.3297,-9999,-9999,-9999,-9999,-9999,6,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,59.6,40,19.6,0.329,15458.4,21533,6074.7,0.282,-9999,-9999,-9999,-9999,-9999,182.9,8.79E-01,24.9,44.6,4.93,234.96,82.33,87.5,3.84,87.77,14.853,3.226
NWT_BCKE.sf.81,NWT_BCKE,burn,SS3-30,SS3,2014,Taiga Plains,60.9547,-117.3301,-9999,-9999,-9999,-9999,-9999,6,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,63.2,40,23.2,0.367,15659.7,23028.9,7369.1,0.32,-9999,-9999,-9999,-9999,-9999,182.9,8.79E-01,24.9,44.6,4.93,234.96,82.33,87.5,3.84,87.77,14.853,3.226
NWT_BCKE.sf.82,NWT_BCKE,burn,SS3-30,SS3,2014,Taiga Plains,60.9543,-117.3294,-9999,-9999,-9999,-9999,-9999,6,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,55.9,40,15.9,0.284,15231.4,20015.6,4784.2,0.239,-9999,-9999,-9999,-9999,-9999,182.9,8.79E-01,24.9,44.6,4.93,234.96,82.33,87.5,3.84,87.77,14.853,3.226
NWT_BCKE.sf.83,NWT_BCKE,burn,SS3-30,SS3,2014,Taiga Plains,60.9544,-117.3289,-9999,-9999,-9999,-9999,-9999,6,-9999,-9999,-9999,-9999,fire,-9999,-9999,-9999,-9999,-9999,40,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,182.9,8.79E-01,24.9,44.6,4.93,234.96,82.33,87.5,3.84,87.77,14.853,3.226
